set_number,timestep,mse,ssim
7,290,0.05836107209324837,0.32121024031321416
7,280,0.05827169492840767,0.3032882973273647
7,270,0.0550265870988369,0.41137760886569996
7,260,0.05702466145157814,0.32838417645798473
7,250,0.06214873492717743,0.21928272583961694
8,350,0.0640268623828888,0.05769743514040278
8,340,0.06625339388847351,0.24089815470558176
8,330,0.06440171599388123,0.18937669670396848
8,320,0.0969766303896904,0.19895437359179294
8,310,0.07690645754337311,0.2712392149016766
8,300,0.07188057154417038,0.29694477522124846
8,290,0.0851319432258606,0.2989968722026161
8,280,0.08133912831544876,0.19264550785611997
8,270,0.06541512161493301,0.1816329764171193
8,260,0.06720104813575745,0.2189985187393096
8,250,0.11281094700098038,0.4151570554051755
9,350,0.08547753095626831,0.22727176369685265
9,340,0.08585559576749802,0.22458172316662967
9,330,0.08547753095626831,0.22727176369685265
9,320,0.0863179937005043,0.22232041953985268
9,310,0.08714137226343155,0.22028661385178566
9,300,0.08643234521150589,0.2207412365238027
9,290,0.08547753095626831,0.22727176369685265
9,280,0.08547753095626831,0.22727176369685265
9,270,0.08547753095626831,0.22727176369685265
9,260,0.0868290364742279,0.2150635646415564
9,250,0.0863201841711998,0.2269437797026088
10,350,0.14739498496055603,0.2759561665180243
10,340,0.14855411648750305,0.2519316894799057
10,330,0.1486670821905136,0.24766441275262172
10,320,0.1473122537136078,0.28122232341207565
10,310,0.14847692847251892,0.2522701378746165
10,300,0.14610330760478973,0.3020683749765158
10,290,0.14503808319568634,0.31073704663664103
10,280,0.13356609642505646,0.3848316963653714
10,270,0.14577820897102356,0.3076585806359071
10,260,0.14749249815940857,0.2717259345704224
10,250,0.1476692408323288,0.26809994846290564
11,350,0.051781829446554184,0.1835695065682133
11,340,0.05245696380734444,0.20100479035782376
11,330,0.05138974264264107,0.18310181155606794
11,320,0.052190572023391724,0.1833078840825086
11,310,0.05231722071766853,0.19141131644511106
11,300,0.05242736637592316,0.1741864401494321
11,290,0.051637519150972366,0.18694330275679627
11,280,0.0489131398499012,0.18211569826526103
11,270,0.0510471947491169,0.19961792000802234
11,260,0.05300280824303627,0.19640905929541785
11,250,0.0518173985183239,0.18829253295928033
12,350,0.04135346785187721,0.08980062475478108
12,340,0.04508325830101967,0.08744610252453842
12,330,0.044004932045936584,0.11030026952930105
12,320,0.04178464412689209,0.09747029930227048
12,310,0.0412028431892395,0.09844725813099002
12,300,0.03999997675418854,0.12292144154754674
12,290,0.03745189309120178,0.13425912114054275
12,280,0.04141579940915108,0.09094822739668112
12,270,0.037369802594184875,0.13442367827571514
12,260,0.037342850118875504,0.13434252727492196
12,250,0.0364166796207428,0.15686905544665125
13,350,0.11494743824005127,0.13133375295696573
13,340,0.11322349309921265,0.1286440982677353
13,330,0.11461571604013443,0.1291875455657848
13,320,0.11804228276014328,0.13231523382619748
13,310,0.11644143611192703,0.13433287723471746
13,300,0.11302179098129272,0.1267032880584399
13,290,0.11348570138216019,0.12955324116576877
13,280,0.1129409447312355,0.12288853781737594
13,270,0.11474766582250595,0.13376812257493537
13,260,0.11279461532831192,0.12262851263499923
13,250,0.11280586570501328,0.12284652031130261
14,350,0.07502587884664536,0.11161398109462527
14,340,0.07496088743209839,0.11485412484034896
14,330,0.07493472844362259,0.11723755914924873
14,320,0.07440204918384552,0.17402537240232857
14,310,0.07504972815513611,0.12253320252419346
14,300,0.07504712790250778,0.12660012797750014
14,290,0.0746539905667305,0.1310717929340899
14,280,0.07502603530883789,0.11161020911816094
14,270,0.07502603530883789,0.11161020911816094
14,260,0.07502603530883789,0.11161020911816094
14,250,0.07475076615810394,0.1222360871159213
15,350,0.07263567298650742,0.13660029530111287
15,340,0.07153058797121048,0.1765099958061344
15,330,0.07084854692220688,0.20931013458304934
15,320,0.07075057178735733,0.18334901976916526
15,310,0.07015318423509598,0.24038627565683177
15,300,0.07280725985765457,0.13174813201444016
15,290,0.07164063304662704,0.16939770782262914
15,280,0.0729622095823288,0.12628798593042626
15,270,0.07157700508832932,0.1797067935195648
15,260,0.07233523577451706,0.17329405157877772
15,250,0.07333987951278687,0.11521187854516837
16,350,0.10433796793222427,0.18715355066582562
16,340,0.10419579595327377,0.15097571042728508
16,330,0.10662031918764114,0.22934750891497566
16,320,0.10443221777677536,0.2240515253889478
16,310,0.10457295179367065,0.19512941624037922
16,300,0.1069970354437828,0.19073911184056971
16,290,0.10427840799093246,0.1911710004425711
16,280,0.10677478462457657,0.22274237980238265
16,270,0.1140131950378418,0.2504107103446343
16,260,0.13903963565826416,0.23815556935851218
16,250,0.12255966663360596,0.3083785561121638
17,350,0.0582357756793499,0.14918159979628398
17,340,0.05375373363494873,0.1739708770558031
17,330,0.05740998685359955,0.15136944639858685
17,320,0.057641852647066116,0.15542828730876662
17,310,0.05867500975728035,0.14374185387096886
17,300,0.05603383108973503,0.16539392730221153
17,290,0.05685022473335266,0.16254773335272654
17,280,0.05789928510785103,0.1506244507406114
17,270,0.05890009179711342,0.1367359442729503
17,260,0.05631949380040169,0.1571882945883812
17,250,0.05661141499876976,0.1631195740469007
18,350,0.11474615335464478,0.20675175660496783
18,340,0.11259865760803223,0.23454629250077738
18,330,0.11196309328079224,0.2449780762312649
18,320,0.12363945692777634,0.191210996313732
18,310,0.11173257231712341,0.23819966851656016
18,300,0.1131339892745018,0.2336777995275851
18,290,0.11148988455533981,0.24664125050314598
18,280,0.11677148938179016,0.22399235651660193
18,270,0.11408904939889908,0.23454346918300467
18,260,0.11656999588012695,0.21741544825522902
18,250,0.11314120143651962,0.24052369716991154
19,350,0.06524018198251724,0.14119329749192627
19,340,0.06445180624723434,0.19963056050344474
19,330,0.06533288210630417,0.13630504658135276
19,320,0.06569831818342209,0.11369806391187012
19,310,0.06567710638046265,0.11504005370558136
19,300,0.06569831818342209,0.11369806391187012
19,290,0.06569831818342209,0.11369806391187012
19,280,0.06569796055555344,0.11371432662527595
19,270,0.06569831818342209,0.11369806391187012
19,260,0.06569831818342209,0.11369806391187012
19,250,0.06558747589588165,0.11957539608598583
20,350,0.08688950538635254,0.11476207980400027
20,340,0.0855541005730629,0.139226506651612
20,330,0.0919259563088417,0.07974397885768364
20,320,0.09294667840003967,0.06560883441635977
20,310,0.08548442274332047,0.13956100192955798
20,300,0.08572844415903091,0.13545841301923955
20,290,0.08585959672927856,0.13323235938868797
20,280,0.08592993766069412,0.13381925937059957
20,270,0.08515282720327377,0.14846528822478527
20,260,0.08499332517385483,0.15254269290508496
20,250,0.08760347962379456,0.10875689743319526
